EventType;Timestamp;DeviceID;User  ID;Details;Value;fl_work;work_time_per
ПроверкаЭнергоснабжения;02.10.2023 2:40;Банкомат86;Пользователь61;Проверка состояния энергоснабжения в Банкомат86;Проблемы с энергоснабжением;0;61
ЗавершениеТранзакции;02.10.2023 2:41;Банкомат69;Пользователь20;Транзакция завершена в Банкомат69;Не удалось;0;77
ВыходПользователя;02.10.2023 2:45;Банкомат79;Пользователь78;Пользователь Пользователь78 вышел из системы в Банкомат79;;1;83
ТестированиеСистемы;02.10.2023 2:47;Банкомат58;Пользователь91;Тестирование системы в Банкомат58;Все системы работают;1;73
ПроверкаОбновлений;02.10.2023 2:51;Банкомат42;Пользователь19;Проверка обновлений в Банкомат42;Обновления отсутствуют;1;57
АварийноеВыключение;02.10.2023 2:56;Банкомат40;Пользователь33;Аварийное отключение устройства Банкомат40;Устройство отключено;1;65
ОшибкаЖесткогоДиска;02.10.2023 2:59;Банкомат47;Пользователь60;Ошибка жесткого диска в Банкомат47;Ошибка чтения;1;81
ЗаполнениеКассеты;02.10.2023 3:01;Банкомат78;Пользователь35;Кассета заполнена в Банкомат78;1001;1;50
СнятиеНаличными;02.10.2023 3:06;Банкомат32;Пользователь15;Пользователь Пользователь15 снял 861 рублей с Банкомат32;861;1;70
ВходПользователя;02.10.2023 3:09;Банкомат68;Пользователь39;Пользователь Пользователь39 вошел в систему в Банкомат68;;0;90
ЗажеваннаяКупюра;02.10.2023 3:11;Банкомат80;Пользователь83;Купюра зажевана в Банкомат80;1000;0;75
ЗажеваннаяКупюра;02.10.2023 3:11;Банкомат92;Пользователь24;Купюра зажевана в Банкомат92;1000;1;74
ПроверкаОбновлений;02.10.2023 3:15;Банкомат65;Пользователь60;Проверка обновлений в Банкомат65;Обновления отсутствуют;1;81
ОтказВОбслуживании;02.10.2023 3:18;Банкомат36;Пользователь72;Отказ в обслуживании в Банкомат36;Нет наличных;0;91
ПроверкаСостоянияКарт;02.10.2023 3:19;Банкомат34;Пользователь37;Проверка состояния карт в Банкомат34;Некоторые карты повреждены;1;75
ПроблемаСоСвязью;02.10.2023 3:23;Банкомат48;Пользователь88;Проблема со связью в Банкомат48;Слабый сигнал;0;69
ПроверкаБаланс;02.10.2023 3:26;Банкомат35;Пользователь91;Проверка баланса пользователем Пользователь91 в Банкомат35;2456;1;71
ПроверкаБаланс;02.10.2023 3:27;Банкомат52;Пользователь62;Проверка баланса пользователем Пользователь62 в Банкомат52;1798;0;91
ОшибкаПечати;02.10.2023 3:27;Банкомат65;Пользователь60;Ошибка печати в Банкомат65;Ошибка механизма;0;72
ПроверкаОбновлений;02.10.2023 3:32;Банкомат7;Пользователь44;Проверка обновлений в Банкомат7;Обновления отсутствуют;1;69
УстановкаОбновлений;02.10.2023 3:34;Банкомат96;Пользователь84;Установка обновлений в Банкомат96;Успешно;0;99
ПроверкаОбновлений;02.10.2023 3:34;Банкомат37;Пользователь22;Проверка обновлений в Банкомат37;Обновления отсутствуют;0;50
ЗаменаКассеты;02.10.2023 3:35;Банкомат22;Пользователь82;Кассета заменена в Банкомат22;1451;0;100
ЗажеваннаяКупюра;02.10.2023 3:40;Банкомат49;Пользователь67;Купюра зажевана в Банкомат49;1000;0;97
ОшибкаТехническая;02.10.2023 3:43;Банкомат94;Пользователь22;Техническая ошибка в Банкомат94;Ошибка питания;1;88
ОшибкаПечати;02.10.2023 3:46;Банкомат38;Пользователь92;Ошибка печати в Банкомат38;Нет бумаги;0;76
ТестированиеУстройства;02.10.2023 3:47;Банкомат18;Пользователь100;Тестирование устройства Банкомат18 завершено;Не удалось;1;75
ОшибкаСети;02.10.2023 3:51;Банкомат17;Пользователь80;Ошибка сети в Банкомат17;Нет соединения;1;91
ОшибкаОбновления;02.10.2023 3:51;Банкомат25;Пользователь6;Ошибка обновления в Банкомат25;Ошибка совместимости;1;78
СостояниеПриемаКупюр;02.10.2023 3:54;Банкомат67;Пользователь61;Состояние устройства приема купюр в Банкомат67 проверено;Работает;1;81
ЗавершениеТранзакции;02.10.2023 3:54;Банкомат83;Пользователь98;Транзакция завершена в Банкомат83;Не удалось;1;69
СнятиеНаличными;02.10.2023 3:56;Банкомат37;Пользователь4;Пользователь Пользователь4 снял 167 рублей с Банкомат37;167;0;100
ПерезагрузкаУстройства;02.10.2023 3:57;Банкомат57;Пользователь32;Устройство Банкомат57 перезагружено;;0;85
Предупреждение;02.10.2023 3:59;Банкомат49;Пользователь57;Предупреждение в Банкомат49;Ошибка связи;0;97
ОшибкаЖесткогоДиска;02.10.2023 4:01;Банкомат55;Пользователь40;Ошибка жесткого диска в Банкомат55;Ошибка чтения;1;93
ЗагрузкаПроцессораВысокая;02.10.2023 4:05;Банкомат66;Пользователь70;Высокая загрузка процессора в Банкомат66;96;0;89
ПроверкаСостоянияКарт;02.10.2023 4:07;Банкомат74;Пользователь87;Проверка состояния карт в Банкомат74;Некоторые карты повреждены;0;64
ВыходПользователя;02.10.2023 4:08;Банкомат11;Пользователь11;Пользователь Пользователь11 вышел из системы в Банкомат11;;0;52
ВосстановлениеСвязи;02.10.2023 4:12;Банкомат93;Пользователь59;Связь восстановлена в Банкомат93;;1;58
ВнесениеНаличных;02.10.2023 4:12;Банкомат4;Пользователь17;Пользователь Пользователь17 внес 808 рублей в Банкомат4;808;0;98
СбросНастроек;02.10.2023 4:13;Банкомат27;Пользователь4;Сброс настроек в Банкомат27;Настройки сброшены;1;83
ОбработкаЗапроса;02.10.2023 4:18;Банкомат14;Пользователь98;Обработка запроса пользователя Пользователь98 в Банкомат14;;1;82
ЗагрузкаПроцессораВысокая;02.10.2023 4:19;Банкомат47;Пользователь42;Высокая загрузка процессора в Банкомат47;93;1;60
ТестированиеСистемы;02.10.2023 4:20;Банкомат41;Пользователь57;Тестирование системы в Банкомат41;Некоторые системы не работают;0;66
СнятиеНаличными;02.10.2023 4:23;Банкомат47;Пользователь82;Пользователь Пользователь82 снял 559 рублей с Банкомат47;559;1;60
Предупреждение;02.10.2023 4:28;Банкомат8;Пользователь84;Предупреждение в Банкомат8;Низкий уровень наличных;1;85
ПерезагрузкаУстройства;02.10.2023 4:28;Банкомат84;Пользователь13;Устройство Банкомат84 перезагружено;;1;97
ЗагрузкаПроцессораВысокая;02.10.2023 4:31;Банкомат32;Пользователь36;Высокая загрузка процессора в Банкомат32;86;1;95
ПроверкаБаланс;02.10.2023 4:36;Банкомат61;Пользователь99;Проверка баланса пользователем Пользователь99 в Банкомат61;1344;0;70
УстановкаОбновлений;02.10.2023 4:37;Банкомат32;Пользователь5;Установка обновлений в Банкомат32;Не удалось;1;51
УстановкаОбновлений;02.10.2023 4:39;Банкомат79;Пользователь35;Установка обновлений в Банкомат79;Успешно;1;67
ЗагрузкаПроцессораВысокая;02.10.2023 4:39;Банкомат38;Пользователь26;Высокая загрузка процессора в Банкомат38;96;1;58
СнятиеНаличными;02.10.2023 4:40;Банкомат68;Пользователь34;Пользователь Пользователь34 снял 647 рублей с Банкомат68;647;0;100
ОшибкаОбновления;02.10.2023 4:42;Банкомат72;Пользователь76;Ошибка обновления в Банкомат72;Ошибка совместимости;1;94
ПроверкаСистемныхЛогов;02.10.2023 4:45;Банкомат73;Пользователь82;Проверка системных логов в Банкомат73;Найдены ошибки;0;73
ЗаполнениеКассеты;02.10.2023 4:49;Банкомат53;Пользователь23;Кассета заполнена в Банкомат53;1687;1;99
ПроблемаСоСвязью;02.10.2023 4:53;Банкомат28;Пользователь91;Проблема со связью в Банкомат28;Потеря соединения;1;92
ОшибкаСинхронизацииДанных;02.10.2023 4:54;Банкомат39;Пользователь79;Ошибка синхронизации данных в Банкомат39;Проблема с сетью;1;91
ОшибкаОбновления;02.10.2023 4:56;Банкомат97;Пользователь65;Ошибка обновления в Банкомат97;Ошибка совместимости;0;94
ВходПользователя;02.10.2023 5:00;Банкомат55;Пользователь42;Пользователь Пользователь42 вошел в систему в Банкомат55;;0;68
ЗавершениеТранзакции;02.10.2023 5:00;Банкомат80;Пользователь51;Транзакция завершена в Банкомат80;Не удалось;1;72
ВыходПользователя;02.10.2023 5:05;Банкомат12;Пользователь90;Пользователь Пользователь90 вышел из системы в Банкомат12;;0;93
ОбслуживаниеТребуется;02.10.2023 5:07;Банкомат21;Пользователь100;Требуется обслуживание Банкомат21;Профилактическое;1;50
ПроверкаСистемныхЛогов;02.10.2023 5:09;Банкомат98;Пользователь66;Проверка системных логов в Банкомат98;Ошибок не найдено;1;63
ЗаполнениеКассеты;02.10.2023 5:09;Банкомат72;Пользователь42;Кассета заполнена в Банкомат72;1153;1;75
ОбработкаЗапроса;02.10.2023 5:12;Банкомат5;Пользователь88;Обработка запроса пользователя Пользователь88 в Банкомат5;;1;76
СигнализацияОшибки;02.10.2023 5:16;Банкомат83;Пользователь90;Сигнализация ошибки в Банкомат83;Ошибка связи;1;51
ОшибкаЖесткогоДиска;02.10.2023 5:18;Банкомат56;Пользователь46;Ошибка жесткого диска в Банкомат56;Ошибка чтения;0;54
ПроверкаСистемныхЛогов;02.10.2023 5:22;Банкомат37;Пользователь64;Проверка системных логов в Банкомат37;Найдены ошибки;1;83
ОшибкаСети;02.10.2023 5:27;Банкомат81;Пользователь37;Ошибка сети в Банкомат81;Потеря пакетов;0;89
ПроверкаБаланс;02.10.2023 5:32;Банкомат71;Пользователь19;Проверка баланса пользователем Пользователь19 в Банкомат71;2083;0;50
ОшибкаПечати;02.10.2023 5:36;Банкомат32;Пользователь73;Ошибка печати в Банкомат32;Нет бумаги;1;100
ЗаменаКартриджа;02.10.2023 5:37;Банкомат59;Пользователь44;Замена картриджа в Банкомат59;Успешно;0;93
Предупреждение;02.10.2023 5:38;Банкомат3;Пользователь49;Предупреждение в Банкомат3;Низкий уровень наличных;1;75
СостояниеУстройстваИзменено;02.10.2023 5:40;Банкомат26;Пользователь31;Состояние устройства Банкомат26 изменилось;Открыто;1;100
ПерезагрузкаУстройства;02.10.2023 5:45;Банкомат45;Пользователь36;Устройство Банкомат45 перезагружено;;0;81
СостояниеУстройстваИзменено;02.10.2023 5:45;Банкомат56;Пользователь10;Состояние устройства Банкомат56 изменилось;Закрыто;0;52
АварийноеВыключение;02.10.2023 5:45;Банкомат60;Пользователь43;Аварийное отключение устройства Банкомат60;Устройство отключено;1;50
ОшибкаОбновления;02.10.2023 5:47;Банкомат23;Пользователь62;Ошибка обновления в Банкомат23;Ошибка совместимости;0;75
ТестированиеУстройства;02.10.2023 5:48;Банкомат18;Пользователь58;Тестирование устройства Банкомат18 завершено;Успешно;0;74
ОшибкаОбновления;02.10.2023 5:52;Банкомат47;Пользователь9;Ошибка обновления в Банкомат47;Ошибка сети;0;62
ЗажеваннаяКупюра;02.10.2023 5:55;Банкомат1;Пользователь51;Купюра зажевана в Банкомат1;1000;1;84
СбросНастроек;02.10.2023 6:00;Банкомат49;Пользователь37;Сброс настроек в Банкомат49;Настройки сброшены;1;65
ПроверкаОбновлений;02.10.2023 6:05;Банкомат68;Пользователь84;Проверка обновлений в Банкомат68;Обновления доступны;1;66
ПроверкаЖесткогоДиска;02.10.2023 6:10;Банкомат57;Пользователь39;Проверка жесткого диска в Банкомат57;44;0;89
ЗажеваннаяКупюра;02.10.2023 6:13;Банкомат76;Пользователь21;Купюра зажевана в Банкомат76;1000;0;96
ОтказВОбслуживании;02.10.2023 6:15;Банкомат29;Пользователь8;Отказ в обслуживании в Банкомат29;Техническая ошибка;0;63
Предупреждение;02.10.2023 6:19;Банкомат30;Пользователь14;Предупреждение в Банкомат30;Ошибка связи;0;84
ОтказВОбслуживании;02.10.2023 6:22;Банкомат63;Пользователь95;Отказ в обслуживании в Банкомат63;Нет наличных;1;72
ВосстановлениеСвязи;02.10.2023 6:22;Банкомат95;Пользователь9;Связь восстановлена в Банкомат95;;1;98
ЗагрузкаПроцессораВысокая;02.10.2023 6:26;Банкомат38;Пользователь70;Высокая загрузка процессора в Банкомат38;94;1;51
ОбслуживаниеТребуется;02.10.2023 6:30;Банкомат29;Пользователь81;Требуется обслуживание Банкомат29;Техническое;0;52
ОшибкаОбновления;02.10.2023 6:35;Банкомат66;Пользователь70;Ошибка обновления в Банкомат66;Ошибка сети;0;95
ПроверкаСостоянияКарт;02.10.2023 6:39;Банкомат91;Пользователь55;Проверка состояния карт в Банкомат91;Некоторые карты повреждены;1;99
ОшибкаПриемаКупюр;02.10.2023 6:40;Банкомат23;Пользователь58;Ошибка приема купюр в Банкомат23;Купюра зажевана;0;74
ПерезагрузкаУстройства;02.10.2023 6:42;Банкомат29;Пользователь37;Устройство Банкомат29 перезагружено;;0;83
АварийноеВыключение;02.10.2023 6:45;Банкомат38;Пользователь61;Аварийное отключение устройства Банкомат38;Устройство отключено;0;58
СнятиеНаличными;02.10.2023 6:46;Банкомат7;Пользователь1;Пользователь Пользователь1 снял 203 рублей с Банкомат7;203;1;83
АварийноеВыключение;02.10.2023 6:50;Банкомат39;Пользователь31;Аварийное отключение устройства Банкомат39;Устройство отключено;1;50
АварийноеВыключение;02.10.2023 6:51;Банкомат45;Пользователь23;Аварийное отключение устройства Банкомат45;Устройство отключено;1;77
ОбновлениеБезопасности;02.10.2023 6:56;Банкомат5;Пользователь97;Обновление систем безопасности в Банкомат5;Успешно;1;84
ВосстановлениеСвязи;02.10.2023 6:56;Банкомат47;Пользователь19;Связь восстановлена в Банкомат47;;0;54
СбросНастроек;02.10.2023 6:59;Банкомат67;Пользователь74;Сброс настроек в Банкомат67;Настройки сброшены;0;95
ОшибкаПечати;02.10.2023 7:01;Банкомат65;Пользователь58;Ошибка печати в Банкомат65;Ошибка механизма;1;73
АварийноеВыключение;02.10.2023 7:05;Банкомат71;Пользователь44;Аварийное отключение устройства Банкомат71;Устройство отключено;1;64
ОбслуживаниеТребуется;02.10.2023 7:10;Банкомат5;Пользователь63;Требуется обслуживание Банкомат5;Профилактическое;0;98
ПроверкаЭнергоснабжения;02.10.2023 7:14;Банкомат86;Пользователь28;Проверка состояния энергоснабжения в Банкомат86;Энергоснабжение в порядке;0;54
ПроверкаСостоянияКлавиатуры;02.10.2023 7:17;Банкомат62;Пользователь49;Проверка состояния клавиатуры в Банкомат62;Клавиатура не работает;1;58
ОбновлениеБезопасности;02.10.2023 7:20;Банкомат82;Пользователь36;Обновление систем безопасности в Банкомат82;Не удалось;0;55
ПроверкаСостоянияПечати;02.10.2023 7:20;Банкомат96;Пользователь8;Проверка состояния печати в Банкомат96;Принтер не работает;0;91
Предупреждение;02.10.2023 7:25;Банкомат74;Пользователь63;Предупреждение в Банкомат74;Ошибка связи;0;64
ПроверкаСостоянияСвязи;02.10.2023 7:30;Банкомат1;Пользователь49;Проверка состояния связи в Банкомат1;Хорошее;1;95
ПроверкаСостоянияКарт;02.10.2023 7:32;Банкомат63;Пользователь52;Проверка состояния карт в Банкомат63;Все карты в порядке;0;71
УстановкаОбновлений;02.10.2023 7:34;Банкомат11;Пользователь25;Установка обновлений в Банкомат11;Не удалось;1;50
ОтказВОбслуживании;02.10.2023 7:36;Банкомат6;Пользователь31;Отказ в обслуживании в Банкомат6;Техническая ошибка;0;64
ПроверкаЭнергоснабжения;02.10.2023 7:40;Банкомат37;Пользователь74;Проверка состояния энергоснабжения в Банкомат37;Энергоснабжение в порядке;0;51
ТестированиеУстройства;02.10.2023 7:44;Банкомат39;Пользователь97;Тестирование устройства Банкомат39 завершено;Не удалось;0;82
ЗаменаКассеты;02.10.2023 7:46;Банкомат88;Пользователь80;Кассета заменена в Банкомат88;1114;0;68
ОшибкаЖесткогоДиска;02.10.2023 7:48;Банкомат28;Пользователь37;Ошибка жесткого диска в Банкомат28;Ошибка чтения;0;99
ЗавершениеТранзакции;02.10.2023 7:51;Банкомат21;Пользователь91;Транзакция завершена в Банкомат21;Успешно;0;61
ОбработкаЗапроса;02.10.2023 7:54;Банкомат7;Пользователь10;Обработка запроса пользователя Пользователь10 в Банкомат7;;1;55
ПроверкаСостоянияКлавиатуры;02.10.2023 7:55;Банкомат26;Пользователь99;Проверка состояния клавиатуры в Банкомат26;Клавиатура работает;1;53
ОшибкаПечати;02.10.2023 7:59;Банкомат80;Пользователь5;Ошибка печати в Банкомат80;Нет бумаги;1;65
Предупреждение;02.10.2023 8:02;Банкомат47;Пользователь40;Предупреждение в Банкомат47;Низкий уровень наличных;0;71
ПроверкаЖесткогоДиска;02.10.2023 8:03;Банкомат11;Пользователь78;Проверка жесткого диска в Банкомат11;87;0;74
ОшибкаПриемаКупюр;02.10.2023 8:03;Банкомат11;Пользователь85;Ошибка приема купюр в Банкомат11;Купюра повреждена;1;66
ОшибкаПриемаКупюр;02.10.2023 8:05;Банкомат53;Пользователь14;Ошибка приема купюр в Банкомат53;Купюра зажевана;1;70
ОшибкаКарт;02.10.2023 8:08;Банкомат90;Пользователь34;Ошибка при считывании карты в Банкомат90;Карта не распознана;0;95
ПроверкаКассеты;02.10.2023 8:12;Банкомат5;Пользователь19;Проверка состояния кассеты в Банкомат5;Хорошее;1;51
ОшибкаПриемаКупюр;02.10.2023 8:14;Банкомат73;Пользователь22;Ошибка приема купюр в Банкомат73;Купюра повреждена;1;90
ОшибкаПечати;02.10.2023 8:17;Банкомат43;Пользователь35;Ошибка печати в Банкомат43;Ошибка механизма;1;80
ЗаменаКассеты;02.10.2023 8:21;Банкомат36;Пользователь78;Кассета заменена в Банкомат36;1438;0;96
ЗавершениеТранзакции;02.10.2023 8:22;Банкомат93;Пользователь81;Транзакция завершена в Банкомат93;Успешно;0;85
ВыходПользователя;02.10.2023 8:22;Банкомат4;Пользователь2;Пользователь Пользователь2 вышел из системы в Банкомат4;;1;57
ВнесениеНаличных;02.10.2023 8:27;Банкомат61;Пользователь84;Пользователь Пользователь84 внес 736 рублей в Банкомат61;736;0;55
ОшибкаЖесткогоДиска;02.10.2023 8:32;Банкомат89;Пользователь35;Ошибка жесткого диска в Банкомат89;Ошибка чтения;0;90
СостояниеУстройстваИзменено;02.10.2023 8:33;Банкомат42;Пользователь95;Состояние устройства Банкомат42 изменилось;Открыто;1;80
Предупреждение;02.10.2023 8:34;Банкомат95;Пользователь48;Предупреждение в Банкомат95;Низкий уровень наличных;1;92
Предупреждение;02.10.2023 8:35;Банкомат53;Пользователь62;Предупреждение в Банкомат53;Ошибка связи;0;90
ЗаменаКассеты;02.10.2023 8:36;Банкомат21;Пользователь55;Кассета заменена в Банкомат21;1761;1;61
ПроверкаЭнергоснабжения;02.10.2023 8:37;Банкомат41;Пользователь3;Проверка состояния энергоснабжения в Банкомат41;Проблемы с энергоснабжением;0;61
ПроверкаЭнергоснабжения;02.10.2023 8:39;Банкомат66;Пользователь13;Проверка состояния энергоснабжения в Банкомат66;Энергоснабжение в порядке;1;89
ЗаменаКартриджа;02.10.2023 8:42;Банкомат26;Пользователь19;Замена картриджа в Банкомат26;Не удалось;0;88
ВнесениеНаличных;02.10.2023 8:42;Банкомат27;Пользователь36;Пользователь Пользователь36 внес 612 рублей в Банкомат27;612;1;61
СостояниеПриемаКупюр;02.10.2023 8:45;Банкомат97;Пользователь46;Состояние устройства приема купюр в Банкомат97 проверено;Не работает;0;100
ПроблемаСоСвязью;02.10.2023 8:48;Банкомат66;Пользователь81;Проблема со связью в Банкомат66;Потеря соединения;0;98
ПроверкаОбновлений;02.10.2023 8:51;Банкомат51;Пользователь19;Проверка обновлений в Банкомат51;Обновления доступны;0;60
ВнесениеНаличных;02.10.2023 8:54;Банкомат34;Пользователь52;Пользователь Пользователь52 внес 168 рублей в Банкомат34;168;1;71
ПроверкаОбновлений;02.10.2023 8:57;Банкомат25;Пользователь88;Проверка обновлений в Банкомат25;Обновления доступны;0;58
ОбновлениеПрограммногоОбеспечения;02.10.2023 9:00;Банкомат53;Пользователь4;Обновление ПО в Банкомат53;Не удалось;1;51
УстановкаОбновлений;02.10.2023 9:01;Банкомат88;Пользователь11;Установка обновлений в Банкомат88;Успешно;0;91
СигнализацияОшибки;02.10.2023 9:02;Банкомат70;Пользователь72;Сигнализация ошибки в Банкомат70;Ошибка механизма;0;83
ПроверкаСистемныхЛогов;02.10.2023 9:05;Банкомат84;Пользователь20;Проверка системных логов в Банкомат84;Ошибок не найдено;0;76
ВосстановлениеСвязи;02.10.2023 9:09;Банкомат99;Пользователь22;Связь восстановлена в Банкомат99;;0;99
ТестированиеУстройства;02.10.2023 9:09;Банкомат78;Пользователь22;Тестирование устройства Банкомат78 завершено;Не удалось;1;97
ЗажеваннаяКупюра;02.10.2023 9:13;Банкомат77;Пользователь59;Купюра зажевана в Банкомат77;100;0;67
ОшибкаСинхронизацииДанных;02.10.2023 9:16;Банкомат85;Пользователь100;Ошибка синхронизации данных в Банкомат85;Неверные данные;1;72
СостояниеПриемаКупюр;02.10.2023 9:16;Банкомат42;Пользователь15;Состояние устройства приема купюр в Банкомат42 проверено;Работает;1;69
ВнесениеНаличных;02.10.2023 9:18;Банкомат98;Пользователь35;Пользователь Пользователь35 внес 427 рублей в Банкомат98;427;0;81
ПроверкаСостоянияСвязи;02.10.2023 9:23;Банкомат55;Пользователь18;Проверка состояния связи в Банкомат55;Плохое;1;73
ОшибкаЖесткогоДиска;02.10.2023 9:26;Банкомат20;Пользователь24;Ошибка жесткого диска в Банкомат20;Нет свободного места;1;71
ПроверкаСостоянияКарт;02.10.2023 9:28;Банкомат42;Пользователь71;Проверка состояния карт в Банкомат42;Все карты в порядке;0;61
ОбслуживаниеТребуется;02.10.2023 9:29;Банкомат65;Пользователь49;Требуется обслуживание Банкомат65;Профилактическое;1;100
АварийноеВыключение;02.10.2023 9:33;Банкомат42;Пользователь70;Аварийное отключение устройства Банкомат42;Устройство отключено;0;56
СигнализацияОшибки;02.10.2023 9:37;Банкомат24;Пользователь19;Сигнализация ошибки в Банкомат24;Ошибка механизма;1;65
ОшибкаПриемаКупюр;02.10.2023 9:40;Банкомат65;Пользователь90;Ошибка приема купюр в Банкомат65;Купюра зажевана;0;67
ОтказВОбслуживании;02.10.2023 9:44;Банкомат23;Пользователь43;Отказ в обслуживании в Банкомат23;Техническая ошибка;0;73
СбросНастроек;02.10.2023 9:47;Банкомат16;Пользователь44;Сброс настроек в Банкомат16;Настройки сброшены;0;100
ЗажеваннаяКупюра;02.10.2023 9:47;Банкомат26;Пользователь46;Купюра зажевана в Банкомат26;500;1;93
ОшибкаСети;02.10.2023 9:50;Банкомат37;Пользователь23;Ошибка сети в Банкомат37;Нет соединения;1;77
ОшибкаТехническая;02.10.2023 9:52;Банкомат71;Пользователь55;Техническая ошибка в Банкомат71;Ошибка связи;1;60
ОшибкаЖесткогоДиска;02.10.2023 9:53;Банкомат23;Пользователь5;Ошибка жесткого диска в Банкомат23;Ошибка чтения;0;65
ТестированиеУстройства;02.10.2023 9:55;Банкомат41;Пользователь1;Тестирование устройства Банкомат41 завершено;Успешно;1;90
УстановкаОбновлений;02.10.2023 9:57;Банкомат86;Пользователь60;Установка обновлений в Банкомат86;Успешно;0;69
ОбновлениеБезопасности;02.10.2023 10:01;Банкомат32;Пользователь61;Обновление систем безопасности в Банкомат32;Успешно;0;74
ПроблемаСоСвязью;02.10.2023 10:06;Банкомат29;Пользователь84;Проблема со связью в Банкомат29;Слабый сигнал;1;92
ПроверкаКассеты;02.10.2023 10:09;Банкомат95;Пользователь99;Проверка состояния кассеты в Банкомат95;Хорошее;0;61
Предупреждение;02.10.2023 10:11;Банкомат38;Пользователь52;Предупреждение в Банкомат38;Ошибка связи;0;52
ПроверкаСостоянияКлавиатуры;02.10.2023 10:11;Банкомат1;Пользователь57;Проверка состояния клавиатуры в Банкомат1;Клавиатура не работает;1;94
ОбслуживаниеТребуется;02.10.2023 10:14;Банкомат10;Пользователь97;Требуется обслуживание Банкомат10;Техническое;1;54
ОшибкаПечати;02.10.2023 10:17;Банкомат84;Пользователь85;Ошибка печати в Банкомат84;Ошибка механизма;0;88
ПроверкаЭнергоснабжения;02.10.2023 10:21;Банкомат16;Пользователь67;Проверка состояния энергоснабжения в Банкомат16;Энергоснабжение в порядке;1;99
ВосстановлениеСвязи;02.10.2023 10:24;Банкомат25;Пользователь63;Связь восстановлена в Банкомат25;;0;91
СнятиеНаличными;02.10.2023 10:29;Банкомат82;Пользователь96;Пользователь Пользователь96 снял 929 рублей с Банкомат82;929;0;97
ЗажеваннаяКупюра;02.10.2023 10:30;Банкомат16;Пользователь20;Купюра зажевана в Банкомат16;1000;0;99
ЗаменаКартриджа;02.10.2023 10:34;Банкомат82;Пользователь37;Замена картриджа в Банкомат82;Успешно;0;56
ВосстановлениеСвязи;02.10.2023 10:37;Банкомат99;Пользователь67;Связь восстановлена в Банкомат99;;1;71
СостояниеКартриджа;02.10.2023 10:40;Банкомат44;Пользователь10;Состояние картриджа проверено в Банкомат44;Полный;1;71
ОбновлениеБезопасности;02.10.2023 10:44;Банкомат44;Пользователь73;Обновление систем безопасности в Банкомат44;Успешно;0;99
ОшибкаПриемаКупюр;02.10.2023 10:46;Банкомат100;Пользователь73;Ошибка приема купюр в Банкомат100;Купюра зажевана;1;83
СнятиеНаличными;02.10.2023 10:49;Банкомат54;Пользователь55;Пользователь Пользователь55 снял 992 рублей с Банкомат54;992;0;71
ВыходПользователя;02.10.2023 10:51;Банкомат18;Пользователь78;Пользователь Пользователь78 вышел из системы в Банкомат18;;1;95
ЗагрузкаПроцессораВысокая;02.10.2023 10:52;Банкомат23;Пользователь61;Высокая загрузка процессора в Банкомат23;83;0;56
ОшибкаПечати;02.10.2023 10:53;Банкомат17;Пользователь14;Ошибка печати в Банкомат17;Нет бумаги;0;89
ПроблемаСоСвязью;02.10.2023 10:56;Банкомат94;Пользователь38;Проблема со связью в Банкомат94;Потеря соединения;1;78
ОшибкаВыдачиНаличности;02.10.2023 10:59;Банкомат7;Пользователь25;Ошибка выдачи наличности в Банкомат7;Купюры отсутствуют;1;96
СбросНастроек;02.10.2023 11:01;Банкомат41;Пользователь85;Сброс настроек в Банкомат41;Настройки сброшены;1;100
ОшибкаПечати;02.10.2023 11:05;Банкомат73;Пользователь38;Ошибка печати в Банкомат73;Ошибка механизма;0;95
ПерезагрузкаУстройства;02.10.2023 11:07;Банкомат12;Пользователь2;Устройство Банкомат12 перезагружено;;0;61
ЗажеваннаяКупюра;02.10.2023 11:09;Банкомат10;Пользователь98;Купюра зажевана в Банкомат10;500;0;73
СостояниеУстройстваИзменено;02.10.2023 11:10;Банкомат86;Пользователь26;Состояние устройства Банкомат86 изменилось;Закрыто;0;69
ТестированиеУстройства;02.10.2023 11:14;Банкомат60;Пользователь36;Тестирование устройства Банкомат60 завершено;Успешно;0;100
АварийноеВыключение;02.10.2023 11:15;Банкомат54;Пользователь12;Аварийное отключение устройства Банкомат54;Устройство отключено;1;84
ОшибкаСинхронизацииДанных;02.10.2023 11:19;Банкомат5;Пользователь44;Ошибка синхронизации данных в Банкомат5;Неверные данные;0;89
ТестированиеСистемы;02.10.2023 11:19;Банкомат64;Пользователь76;Тестирование системы в Банкомат64;Все системы работают;1;65
ЗагрузкаПроцессораВысокая;02.10.2023 11:23;Банкомат24;Пользователь86;Высокая загрузка процессора в Банкомат24;88;1;51
ОшибкаПечати;02.10.2023 11:28;Банкомат74;Пользователь75;Ошибка печати в Банкомат74;Нет бумаги;0;95
ОшибкаСети;02.10.2023 11:32;Банкомат58;Пользователь17;Ошибка сети в Банкомат58;Нет соединения;0;69
ПроверкаСостоянияПечати;02.10.2023 11:33;Банкомат97;Пользователь82;Проверка состояния печати в Банкомат97;Принтер работает;1;79
СостояниеПриемаКупюр;02.10.2023 11:34;Банкомат33;Пользователь77;Состояние устройства приема купюр в Банкомат33 проверено;Работает;1;73
ПроверкаКассеты;02.10.2023 11:34;Банкомат66;Пользователь7;Проверка состояния кассеты в Банкомат66;Нуждается в замене;0;50
