EventType,Timestamp,DeviceID,User  ID,Details,Value,predicted_has_error,datetime,Date,fl_work,work_time_per
ОшибкаПечати,2023-10-05 13:11:31,Банкомат43,Пользователь30,Ошибка печати в Банкомат43,Нет бумаги,True,2023-10-05 13:11:31,2023-10-05,0,82
ПроверкаСостоянияКлавиатуры,2023-10-05 13:16:55,Банкомат98,Пользователь78,Проверка состояния клавиатуры в Банкомат98,Клавиатура не работает,True,2023-10-05 13:16:55,2023-10-05,0,96
ЗавершениеТранзакции,2023-10-05 13:22:49,Банкомат67,Пользователь55,Транзакция завершена в Банкомат67,Успешно,False,2023-10-05 13:22:49,2023-10-05,1,79
ОбновлениеБезопасности,2023-10-05 13:27:09,Банкомат15,Пользователь97,Обновление систем безопасности в Банкомат15,Не удалось,True,2023-10-05 13:27:09,2023-10-05,1,89
ПроверкаСостоянияКарт,2023-10-05 13:31:02,Банкомат91,Пользователь77,Проверка состояния карт в Банкомат91,Некоторые карты повреждены,False,2023-10-05 13:31:02,2023-10-05,0,58
ОшибкаОбновления,2023-10-05 13:38:38,Банкомат5,Пользователь84,Ошибка обновления в Банкомат5,Ошибка сети,True,2023-10-05 13:38:38,2023-10-05,1,50
ОшибкаВыдачиНаличности,2023-10-05 13:39:47,Банкомат28,Пользователь78,Ошибка выдачи наличности в Банкомат28,Купюры отсутствуют,False,2023-10-05 13:39:47,2023-10-05,0,62
ОтказВОбслуживании,2023-10-05 13:41:01,Банкомат8,Пользователь5,Отказ в обслуживании в Банкомат8,Техническая ошибка,True,2023-10-05 13:41:01,2023-10-05,1,74
ПроблемаСоСвязью,2023-10-05 13:44:00,Банкомат49,Пользователь99,Проблема со связью в Банкомат49,Потеря соединения,False,2023-10-05 13:44:00,2023-10-05,1,62
ПроверкаКассеты,2023-10-05 13:59:47,Банкомат89,Пользователь75,Проверка состояния кассеты в Банкомат89,Хорошее,False,2023-10-05 13:59:47,2023-10-05,1,73
УстановкаОбновлений,2023-10-05 14:03:24,Банкомат61,Пользователь48,Установка обновлений в Банкомат61,Успешно,False,2023-10-05 14:03:24,2023-10-05,1,91
ТестированиеУстройства,2023-10-05 14:04:05,Банкомат77,Пользователь82,Тестирование устройства Банкомат77 завершено,Успешно,False,2023-10-05 14:04:05,2023-10-05,0,94
ОшибкаСети,2023-10-05 14:15:00,Банкомат57,Пользователь87,Ошибка сети в Банкомат57,Потеря пакетов,False,2023-10-05 14:15:00,2023-10-05,1,78
ОшибкаТехническая,2023-10-05 14:21:38,Банкомат1,Пользователь60,Техническая ошибка в Банкомат1,Ошибка связи,True,2023-10-05 14:21:38,2023-10-05,1,92
ОшибкаВыдачиНаличности,2023-10-05 14:26:23,Банкомат31,Пользователь63,Ошибка выдачи наличности в Банкомат31,Ошибка механизма,True,2023-10-05 14:26:23,2023-10-05,1,56
ОшибкаОбновления,2023-10-05 14:28:45,Банкомат77,Пользователь97,Ошибка обновления в Банкомат77,Ошибка совместимости,True,2023-10-05 14:28:45,2023-10-05,1,69
АварийноеВыключение,2023-10-05 14:37:52,Банкомат71,Пользователь35,Аварийное отключение устройства Банкомат71,Устройство отключено,True,2023-10-05 14:37:52,2023-10-05,0,77
ОбновлениеПрограммногоОбеспечения,2023-10-05 14:41:30,Банкомат67,Пользователь28,Обновление ПО в Банкомат67,Успешно,False,2023-10-05 14:41:30,2023-10-05,1,95
ПроверкаСостоянияКарт,2023-10-05 14:44:56,Банкомат5,Пользователь1,Проверка состояния карт в Банкомат5,Некоторые карты повреждены,False,2023-10-05 14:44:56,2023-10-05,1,71
ПроверкаСостоянияКарт,2023-10-05 14:49:30,Банкомат96,Пользователь18,Проверка состояния карт в Банкомат96,Все карты в порядке,False,2023-10-05 14:49:30,2023-10-05,0,64
ОшибкаЖесткогоДиска,2023-10-05 14:49:55,Банкомат57,Пользователь55,Ошибка жесткого диска в Банкомат57,Нет свободного места,True,2023-10-05 14:49:55,2023-10-05,0,98
АварийноеВыключение,2023-10-05 14:58:02,Банкомат51,Пользователь46,Аварийное отключение устройства Банкомат51,Устройство отключено,True,2023-10-05 14:58:02,2023-10-05,0,64
ОбновлениеПрограммногоОбеспечения,2023-10-05 14:59:42,Банкомат88,Пользователь60,Обновление ПО в Банкомат88,Не удалось,True,2023-10-05 14:59:42,2023-10-05,0,84
СостояниеПриемаКупюр,2023-10-05 15:00:32,Банкомат81,Пользователь97,Состояние устройства приема купюр в Банкомат81 проверено,Работает,False,2023-10-05 15:00:32,2023-10-05,1,98
ОшибкаВыдачиНаличности,2023-10-05 15:01:13,Банкомат65,Пользователь74,Ошибка выдачи наличности в Банкомат65,Ошибка механизма,True,2023-10-05 15:01:13,2023-10-05,1,56
УстановкаОбновлений,2023-10-05 15:02:19,Банкомат88,Пользователь87,Установка обновлений в Банкомат88,Успешно,False,2023-10-05 15:02:19,2023-10-05,1,50
ПроверкаСостоянияКарт,2023-10-05 15:06:10,Банкомат36,Пользователь31,Проверка состояния карт в Банкомат36,Некоторые карты повреждены,False,2023-10-05 15:06:10,2023-10-05,0,93
ПроверкаЭнергоснабжения,2023-10-05 15:06:37,Банкомат54,Пользователь84,Проверка состояния энергоснабжения в Банкомат54,Проблемы с энергоснабжением,True,2023-10-05 15:06:37,2023-10-05,0,80
АварийноеВыключение,2023-10-05 15:10:02,Банкомат47,Пользователь80,Аварийное отключение устройства Банкомат47,Устройство отключено,True,2023-10-05 15:10:02,2023-10-05,0,86
ОшибкаОбновления,2023-10-05 15:14:16,Банкомат28,Пользователь75,Ошибка обновления в Банкомат28,Ошибка сети,True,2023-10-05 15:14:16,2023-10-05,1,84
ПроверкаСостоянияПечати,2023-10-05 15:18:44,Банкомат1,Пользователь1,Проверка состояния печати в Банкомат1,Принтер не работает,True,2023-10-05 15:18:44,2023-10-05,1,80
СостояниеУстройстваИзменено,2023-10-05 15:21:46,Банкомат95,Пользователь88,Состояние устройства Банкомат95 изменилось,Открыто,False,2023-10-05 15:21:46,2023-10-05,0,59
ОшибкаСети,2023-10-05 15:28:01,Банкомат34,Пользователь21,Ошибка сети в Банкомат34,Потеря пакетов,False,2023-10-05 15:28:01,2023-10-05,1,79
ОбновлениеПрограммногоОбеспечения,2023-10-05 15:29:53,Банкомат96,Пользователь97,Обновление ПО в Банкомат96,Успешно,False,2023-10-05 15:29:53,2023-10-05,0,86
ОшибкаВыдачиНаличности,2023-10-05 15:38:41,Банкомат59,Пользователь56,Ошибка выдачи наличности в Банкомат59,Ошибка механизма,True,2023-10-05 15:38:41,2023-10-05,1,80
ОтказВОбслуживании,2023-10-05 15:43:14,Банкомат39,Пользователь13,Отказ в обслуживании в Банкомат39,Нет наличных,True,2023-10-05 15:43:14,2023-10-05,0,90
АварийноеВыключение,2023-10-05 15:52:52,Банкомат49,Пользователь70,Аварийное отключение устройства Банкомат49,Устройство отключено,True,2023-10-05 15:52:52,2023-10-05,1,83
ЗавершениеТранзакции,2023-10-05 15:56:30,Банкомат72,Пользователь36,Транзакция завершена в Банкомат72,Не удалось,True,2023-10-05 15:56:30,2023-10-05,0,82
СостояниеУстройстваИзменено,2023-10-05 15:58:17,Банкомат48,Пользователь97,Состояние устройства Банкомат48 изменилось,Открыто,False,2023-10-05 15:58:17,2023-10-05,1,82
ОбновлениеПрограммногоОбеспечения,2023-10-05 16:01:53,Банкомат8,Пользователь57,Обновление ПО в Банкомат8,Не удалось,True,2023-10-05 16:01:53,2023-10-05,0,77
ПроверкаСистемныхЛогов,2023-10-05 16:05:36,Банкомат32,Пользователь28,Проверка системных логов в Банкомат32,Ошибок не найдено,True,2023-10-05 16:05:36,2023-10-05,0,91
ПроверкаОбновлений,2023-10-05 16:12:08,Банкомат87,Пользователь63,Проверка обновлений в Банкомат87,Обновления отсутствуют,False,2023-10-05 16:12:08,2023-10-05,1,99
ОшибкаТехническая,2023-10-05 16:13:11,Банкомат20,Пользователь12,Техническая ошибка в Банкомат20,Ошибка питания,True,2023-10-05 16:13:11,2023-10-05,0,54
ОшибкаЖесткогоДиска,2023-10-05 16:16:32,Банкомат53,Пользователь93,Ошибка жесткого диска в Банкомат53,Ошибка чтения,True,2023-10-05 16:16:32,2023-10-05,1,70
СостояниеУстройстваИзменено,2023-10-05 16:17:05,Банкомат3,Пользователь20,Состояние устройства Банкомат3 изменилось,Закрыто,False,2023-10-05 16:17:05,2023-10-05,0,75
СостояниеУстройстваИзменено,2023-10-05 16:19:49,Банкомат24,Пользователь45,Состояние устройства Банкомат24 изменилось,Открыто,False,2023-10-05 16:19:49,2023-10-05,0,82
ЗавершениеТранзакции,2023-10-05 16:27:06,Банкомат97,Пользователь67,Транзакция завершена в Банкомат97,Успешно,False,2023-10-05 16:27:06,2023-10-05,0,85
ОшибкаВыдачиНаличности,2023-10-05 16:30:26,Банкомат92,Пользователь67,Ошибка выдачи наличности в Банкомат92,Купюры отсутствуют,False,2023-10-05 16:30:26,2023-10-05,1,99
СостояниеКартриджа,2023-10-05 16:33:40,Банкомат68,Пользователь45,Состояние картриджа проверено в Банкомат68,Пустой,False,2023-10-05 16:33:40,2023-10-05,1,61
ОшибкаЖесткогоДиска,2023-10-05 16:34:41,Банкомат3,Пользователь52,Ошибка жесткого диска в Банкомат3,Нет свободного места,True,2023-10-05 16:34:41,2023-10-05,1,73
УстановкаОбновлений,2023-10-05 16:35:06,Банкомат44,Пользователь48,Установка обновлений в Банкомат44,Успешно,False,2023-10-05 16:35:06,2023-10-05,0,96
ОшибкаВыдачиНаличности,2023-10-05 16:40:27,Банкомат91,Пользователь96,Ошибка выдачи наличности в Банкомат91,Ошибка механизма,True,2023-10-05 16:40:27,2023-10-05,0,93
ОбновлениеБезопасности,2023-10-05 16:43:20,Банкомат74,Пользователь98,Обновление систем безопасности в Банкомат74,Не удалось,True,2023-10-05 16:43:20,2023-10-05,0,99
СостояниеПриемаКупюр,2023-10-05 16:45:26,Банкомат68,Пользователь81,Состояние устройства приема купюр в Банкомат68 проверено,Работает,False,2023-10-05 16:45:26,2023-10-05,1,99
ПроблемаСоСвязью,2023-10-05 16:47:57,Банкомат37,Пользователь9,Проблема со связью в Банкомат37,Слабый сигнал,True,2023-10-05 16:47:57,2023-10-05,1,54
СостояниеКартриджа,2023-10-05 16:50:28,Банкомат3,Пользователь95,Состояние картриджа проверено в Банкомат3,Полный,False,2023-10-05 16:50:28,2023-10-05,0,70
ОшибкаВыдачиНаличности,2023-10-05 16:54:13,Банкомат31,Пользователь56,Ошибка выдачи наличности в Банкомат31,Купюры отсутствуют,False,2023-10-05 16:54:13,2023-10-05,1,74
ПроверкаКассеты,2023-10-05 17:02:46,Банкомат93,Пользователь90,Проверка состояния кассеты в Банкомат93,Нуждается в замене,False,2023-10-05 17:02:46,2023-10-05,0,67
ОшибкаЖесткогоДиска,2023-10-05 17:13:20,Банкомат61,Пользователь76,Ошибка жесткого диска в Банкомат61,Ошибка чтения,True,2023-10-05 17:13:20,2023-10-05,0,82
ОбслуживаниеТребуется,2023-10-05 17:21:29,Банкомат95,Пользователь100,Требуется обслуживание Банкомат95,Профилактическое,False,2023-10-05 17:21:29,2023-10-05,0,75
СигнализацияОшибки,2023-10-05 17:23:49,Банкомат45,Пользователь98,Сигнализация ошибки в Банкомат45,Ошибка механизма,True,2023-10-05 17:23:49,2023-10-05,0,92
ПроверкаКассеты,2023-10-05 17:26:58,Банкомат14,Пользователь16,Проверка состояния кассеты в Банкомат14,Нуждается в замене,False,2023-10-05 17:26:58,2023-10-05,0,59
ОшибкаСети,2023-10-05 17:30:04,Банкомат11,Пользователь87,Ошибка сети в Банкомат11,Нет соединения,True,2023-10-05 17:30:04,2023-10-05,1,80
ОшибкаТехническая,2023-10-05 17:37:05,Банкомат74,Пользователь72,Техническая ошибка в Банкомат74,Ошибка питания,True,2023-10-05 17:37:05,2023-10-05,1,83
ЗаменаКартриджа,2023-10-05 17:50:26,Банкомат42,Пользователь42,Замена картриджа в Банкомат42,Не удалось,True,2023-10-05 17:50:26,2023-10-05,0,93
ОбновлениеПрограммногоОбеспечения,2023-10-05 17:56:18,Банкомат39,Пользователь57,Обновление ПО в Банкомат39,Не удалось,True,2023-10-05 17:56:18,2023-10-05,0,74
СостояниеПриемаКупюр,2023-10-05 17:58:33,Банкомат39,Пользователь97,Состояние устройства приема купюр в Банкомат39 проверено,Не работает,True,2023-10-05 17:58:33,2023-10-05,0,99
ТестированиеУстройства,2023-10-05 18:00:39,Банкомат53,Пользователь22,Тестирование устройства Банкомат53 завершено,Не удалось,True,2023-10-05 18:00:39,2023-10-05,0,89
ОбслуживаниеТребуется,2023-10-05 18:01:28,Банкомат40,Пользователь36,Требуется обслуживание Банкомат40,Профилактическое,False,2023-10-05 18:01:28,2023-10-05,0,60
ПроблемаСоСвязью,2023-10-05 18:02:51,Банкомат3,Пользователь11,Проблема со связью в Банкомат3,Потеря соединения,False,2023-10-05 18:02:51,2023-10-05,0,56
ЗавершениеТранзакции,2023-10-05 18:15:41,Банкомат90,Пользователь53,Транзакция завершена в Банкомат90,Успешно,False,2023-10-05 18:15:41,2023-10-05,0,80
ТестированиеСистемы,2023-10-05 18:21:41,Банкомат13,Пользователь45,Тестирование системы в Банкомат13,Некоторые системы не работают,True,2023-10-05 18:21:41,2023-10-05,1,69
ПроверкаОбновлений,2023-10-05 18:24:55,Банкомат38,Пользователь60,Проверка обновлений в Банкомат38,Обновления доступны,False,2023-10-05 18:24:55,2023-10-05,1,68
ПроверкаСостоянияКлавиатуры,2023-10-05 18:25:00,Банкомат100,Пользователь70,Проверка состояния клавиатуры в Банкомат100,Клавиатура работает,False,2023-10-05 18:25:00,2023-10-05,1,60
ОшибкаТехническая,2023-10-05 18:28:51,Банкомат86,Пользователь70,Техническая ошибка в Банкомат86,Ошибка связи,True,2023-10-05 18:28:51,2023-10-05,1,65
ПроверкаСостоянияПечати,2023-10-05 18:33:41,Банкомат98,Пользователь26,Проверка состояния печати в Банкомат98,Принтер не работает,True,2023-10-05 18:33:41,2023-10-05,0,94
ПроверкаКассеты,2023-10-05 18:36:07,Банкомат51,Пользователь61,Проверка состояния кассеты в Банкомат51,Хорошее,False,2023-10-05 18:36:07,2023-10-05,1,80
ОшибкаТехническая,2023-10-05 18:39:53,Банкомат44,Пользователь50,Техническая ошибка в Банкомат44,Ошибка связи,True,2023-10-05 18:39:53,2023-10-05,1,74
ПроверкаСистемныхЛогов,2023-10-05 18:50:33,Банкомат80,Пользователь42,Проверка системных логов в Банкомат80,Ошибок не найдено,True,2023-10-05 18:50:33,2023-10-05,0,97
ТестированиеУстройства,2023-10-05 18:51:23,Банкомат54,Пользователь2,Тестирование устройства Банкомат54 завершено,Не удалось,True,2023-10-05 18:51:23,2023-10-05,1,54
ОшибкаТехническая,2023-10-05 18:57:29,Банкомат77,Пользователь50,Техническая ошибка в Банкомат77,Ошибка питания,True,2023-10-05 18:57:29,2023-10-05,1,74
ОшибкаЖесткогоДиска,2023-10-05 18:59:19,Банкомат59,Пользователь64,Ошибка жесткого диска в Банкомат59,Нет свободного места,True,2023-10-05 18:59:19,2023-10-05,1,69
ПроверкаКассеты,2023-10-05 19:03:17,Банкомат80,Пользователь84,Проверка состояния кассеты в Банкомат80,Нуждается в замене,False,2023-10-05 19:03:17,2023-10-05,1,82
ЗаменаКартриджа,2023-10-05 19:07:11,Банкомат65,Пользователь75,Замена картриджа в Банкомат65,Не удалось,True,2023-10-05 19:07:11,2023-10-05,1,71
ПроверкаСостоянияКлавиатуры,2023-10-05 19:14:11,Банкомат79,Пользователь35,Проверка состояния клавиатуры в Банкомат79,Клавиатура работает,False,2023-10-05 19:14:11,2023-10-05,0,67
ПроблемаСоСвязью,2023-10-05 19:14:51,Банкомат3,Пользователь24,Проблема со связью в Банкомат3,Слабый сигнал,True,2023-10-05 19:14:51,2023-10-05,1,71
ПроверкаСостоянияСвязи,2023-10-05 19:15:55,Банкомат61,Пользователь46,Проверка состояния связи в Банкомат61,Хорошее,False,2023-10-05 19:15:55,2023-10-05,0,75
ПроверкаСостоянияСвязи,2023-10-05 19:18:05,Банкомат26,Пользователь59,Проверка состояния связи в Банкомат26,Хорошее,False,2023-10-05 19:18:05,2023-10-05,1,90
ОшибкаЖесткогоДиска,2023-10-05 19:22:21,Банкомат17,Пользователь2,Ошибка жесткого диска в Банкомат17,Нет свободного места,True,2023-10-05 19:22:21,2023-10-05,0,74
ПроверкаСостоянияКарт,2023-10-05 19:25:29,Банкомат30,Пользователь49,Проверка состояния карт в Банкомат30,Некоторые карты повреждены,False,2023-10-05 19:25:29,2023-10-05,0,92
ТестированиеУстройства,2023-10-05 19:29:11,Банкомат13,Пользователь81,Тестирование устройства Банкомат13 завершено,Не удалось,True,2023-10-05 19:29:11,2023-10-05,1,90
СостояниеКартриджа,2023-10-05 19:35:17,Банкомат34,Пользователь69,Состояние картриджа проверено в Банкомат34,Пустой,False,2023-10-05 19:35:17,2023-10-05,0,68
ПроверкаЭнергоснабжения,2023-10-05 19:38:45,Банкомат9,Пользователь21,Проверка состояния энергоснабжения в Банкомат9,Проблемы с энергоснабжением,True,2023-10-05 19:38:45,2023-10-05,0,50
СостояниеПриемаКупюр,2023-10-05 19:41:56,Банкомат70,Пользователь80,Состояние устройства приема купюр в Банкомат70 проверено,Не работает,True,2023-10-05 19:41:56,2023-10-05,0,72
ПроверкаСостоянияКлавиатуры,2023-10-05 19:45:34,Банкомат92,Пользователь80,Проверка состояния клавиатуры в Банкомат92,Клавиатура работает,False,2023-10-05 19:45:34,2023-10-05,1,50
ПроверкаСистемныхЛогов,2023-10-05 19:47:07,Банкомат2,Пользователь4,Проверка системных логов в Банкомат2,Ошибок не найдено,True,2023-10-05 19:47:07,2023-10-05,0,80
ОшибкаСети,2023-10-05 19:48:44,Банкомат14,Пользователь63,Ошибка сети в Банкомат14,Нет соединения,True,2023-10-05 19:48:44,2023-10-05,0,54
ПроверкаСостоянияСвязи,2023-10-05 19:49:57,Банкомат18,Пользователь3,Проверка состояния связи в Банкомат18,Плохое,True,2023-10-05 19:49:57,2023-10-05,1,50
ТестированиеСистемы,2023-10-05 19:50:04,Банкомат85,Пользователь63,Тестирование системы в Банкомат85,Некоторые системы не работают,True,2023-10-05 19:50:04,2023-10-05,0,57
ОтказВОбслуживании,2023-10-05 19:50:52,Банкомат17,Пользователь84,Отказ в обслуживании в Банкомат17,Техническая ошибка,True,2023-10-05 19:50:52,2023-10-05,1,72
ОшибкаЖесткогоДиска,2023-10-05 19:57:58,Банкомат18,Пользователь13,Ошибка жесткого диска в Банкомат18,Нет свободного места,True,2023-10-05 19:57:58,2023-10-05,1,99
АварийноеВыключение,2023-10-05 20:03:46,Банкомат82,Пользователь64,Аварийное отключение устройства Банкомат82,Устройство отключено,True,2023-10-05 20:03:46,2023-10-05,0,85
ТестированиеУстройства,2023-10-05 20:11:26,Банкомат52,Пользователь62,Тестирование устройства Банкомат52 завершено,Успешно,False,2023-10-05 20:11:26,2023-10-05,0,68
ОбслуживаниеТребуется,2023-10-05 20:25:05,Банкомат73,Пользователь48,Требуется обслуживание Банкомат73,Техническое,False,2023-10-05 20:25:05,2023-10-05,0,52
ПроверкаСостоянияСвязи,2023-10-05 20:29:13,Банкомат21,Пользователь30,Проверка состояния связи в Банкомат21,Хорошее,False,2023-10-05 20:29:13,2023-10-05,0,67
ОбслуживаниеТребуется,2023-10-05 20:32:48,Банкомат12,Пользователь76,Требуется обслуживание Банкомат12,Техническое,False,2023-10-05 20:32:48,2023-10-05,0,59
ПроблемаСоСвязью,2023-10-05 20:36:32,Банкомат17,Пользователь8,Проблема со связью в Банкомат17,Слабый сигнал,True,2023-10-05 20:36:32,2023-10-05,0,78
ЗаменаКартриджа,2023-10-05 20:40:46,Банкомат53,Пользователь32,Замена картриджа в Банкомат53,Не удалось,True,2023-10-05 20:40:46,2023-10-05,0,75
ПроверкаЭнергоснабжения,2023-10-05 20:42:21,Банкомат33,Пользователь45,Проверка состояния энергоснабжения в Банкомат33,Энергоснабжение в порядке,False,2023-10-05 20:42:21,2023-10-05,1,87
ОбслуживаниеТребуется,2023-10-05 20:47:41,Банкомат25,Пользователь44,Требуется обслуживание Банкомат25,Профилактическое,False,2023-10-05 20:47:41,2023-10-05,1,59
ТестированиеУстройства,2023-10-05 20:50:54,Банкомат28,Пользователь8,Тестирование устройства Банкомат28 завершено,Успешно,False,2023-10-05 20:50:54,2023-10-05,1,51
СостояниеПриемаКупюр,2023-10-05 20:55:14,Банкомат90,Пользователь99,Состояние устройства приема купюр в Банкомат90 проверено,Работает,False,2023-10-05 20:55:14,2023-10-05,1,77
ОшибкаТехническая,2023-10-05 20:56:07,Банкомат5,Пользователь13,Техническая ошибка в Банкомат5,Ошибка питания,True,2023-10-05 20:56:07,2023-10-05,1,92
ОшибкаОбновления,2023-10-05 21:05:09,Банкомат33,Пользователь51,Ошибка обновления в Банкомат33,Ошибка совместимости,True,2023-10-05 21:05:09,2023-10-05,1,50
АварийноеВыключение,2023-10-05 21:06:03,Банкомат2,Пользователь88,Аварийное отключение устройства Банкомат2,Устройство отключено,True,2023-10-05 21:06:03,2023-10-05,1,87
ОтказВОбслуживании,2023-10-05 21:10:55,Банкомат46,Пользователь49,Отказ в обслуживании в Банкомат46,Нет наличных,True,2023-10-05 21:10:55,2023-10-05,1,78
СостояниеПриемаКупюр,2023-10-05 21:12:55,Банкомат49,Пользователь67,Состояние устройства приема купюр в Банкомат49 проверено,Работает,False,2023-10-05 21:12:55,2023-10-05,1,65
СигнализацияОшибки,2023-10-05 21:17:36,Банкомат94,Пользователь94,Сигнализация ошибки в Банкомат94,Ошибка механизма,True,2023-10-05 21:17:36,2023-10-05,1,86
СостояниеУстройстваИзменено,2023-10-05 21:21:21,Банкомат25,Пользователь19,Состояние устройства Банкомат25 изменилось,Открыто,False,2023-10-05 21:21:21,2023-10-05,0,97
ПроверкаСостоянияПечати,2023-10-05 21:23:32,Банкомат68,Пользователь57,Проверка состояния печати в Банкомат68,Принтер не работает,True,2023-10-05 21:23:32,2023-10-05,1,79
ПроверкаСостоянияКарт,2023-10-05 21:24:02,Банкомат19,Пользователь40,Проверка состояния карт в Банкомат19,Все карты в порядке,False,2023-10-05 21:24:02,2023-10-05,0,74
ОшибкаПечати,2023-10-05 21:32:57,Банкомат15,Пользователь37,Ошибка печати в Банкомат15,Нет бумаги,True,2023-10-05 21:32:57,2023-10-05,0,56
ОшибкаСети,2023-10-05 21:43:25,Банкомат12,Пользователь54,Ошибка сети в Банкомат12,Потеря пакетов,False,2023-10-05 21:43:25,2023-10-05,0,93
ПроблемаСоСвязью,2023-10-05 21:44:52,Банкомат70,Пользователь60,Проблема со связью в Банкомат70,Слабый сигнал,True,2023-10-05 21:44:52,2023-10-05,0,77
АварийноеВыключение,2023-10-05 21:49:28,Банкомат79,Пользователь87,Аварийное отключение устройства Банкомат79,Устройство отключено,True,2023-10-05 21:49:28,2023-10-05,1,57
ПроверкаСостоянияПечати,2023-10-05 21:52:01,Банкомат94,Пользователь94,Проверка состояния печати в Банкомат94,Принтер не работает,True,2023-10-05 21:52:01,2023-10-05,1,93
ОшибкаВыдачиНаличности,2023-10-05 21:57:23,Банкомат80,Пользователь85,Ошибка выдачи наличности в Банкомат80,Купюры отсутствуют,False,2023-10-05 21:57:23,2023-10-05,0,94
ТестированиеУстройства,2023-10-05 22:11:41,Банкомат67,Пользователь70,Тестирование устройства Банкомат67 завершено,Успешно,False,2023-10-05 22:11:41,2023-10-05,1,91
СостояниеКартриджа,2023-10-05 22:16:02,Банкомат99,Пользователь62,Состояние картриджа проверено в Банкомат99,Пустой,False,2023-10-05 22:16:02,2023-10-05,1,51
СостояниеКартриджа,2023-10-05 22:16:18,Банкомат10,Пользователь84,Состояние картриджа проверено в Банкомат10,Полный,False,2023-10-05 22:16:18,2023-10-05,1,70
ТестированиеСистемы,2023-10-05 22:21:31,Банкомат88,Пользователь100,Тестирование системы в Банкомат88,Все системы работают,False,2023-10-05 22:21:31,2023-10-05,0,83
ОбновлениеБезопасности,2023-10-05 22:24:03,Банкомат7,Пользователь38,Обновление систем безопасности в Банкомат7,Успешно,False,2023-10-05 22:24:03,2023-10-05,0,99
ОбновлениеПрограммногоОбеспечения,2023-10-05 22:25:30,Банкомат100,Пользователь81,Обновление ПО в Банкомат100,Не удалось,True,2023-10-05 22:25:30,2023-10-05,0,67
ОшибкаОбновления,2023-10-05 22:30:11,Банкомат21,Пользователь67,Ошибка обновления в Банкомат21,Ошибка совместимости,True,2023-10-05 22:30:11,2023-10-05,1,62
ОшибкаПечати,2023-10-05 22:33:23,Банкомат48,Пользователь20,Ошибка печати в Банкомат48,Ошибка механизма,True,2023-10-05 22:33:23,2023-10-05,0,75
ПроблемаСоСвязью,2023-10-05 22:38:11,Банкомат32,Пользователь50,Проблема со связью в Банкомат32,Слабый сигнал,True,2023-10-05 22:38:11,2023-10-05,1,90
ПроблемаСоСвязью,2023-10-05 22:38:44,Банкомат65,Пользователь41,Проблема со связью в Банкомат65,Потеря соединения,False,2023-10-05 22:38:44,2023-10-05,1,77
ТестированиеУстройства,2023-10-05 22:49:48,Банкомат84,Пользователь48,Тестирование устройства Банкомат84 завершено,Успешно,False,2023-10-05 22:49:48,2023-10-05,0,71
ТестированиеСистемы,2023-10-05 22:51:24,Банкомат50,Пользователь69,Тестирование системы в Банкомат50,Некоторые системы не работают,True,2023-10-05 22:51:24,2023-10-05,0,62
ОшибкаОбновления,2023-10-05 22:52:30,Банкомат15,Пользователь45,Ошибка обновления в Банкомат15,Ошибка сети,True,2023-10-05 22:52:30,2023-10-05,0,86
ОшибкаВыдачиНаличности,2023-10-05 22:52:50,Банкомат87,Пользователь87,Ошибка выдачи наличности в Банкомат87,Ошибка механизма,True,2023-10-05 22:52:50,2023-10-05,1,92
СостояниеКартриджа,2023-10-05 22:56:54,Банкомат5,Пользователь98,Состояние картриджа проверено в Банкомат5,Полный,False,2023-10-05 22:56:54,2023-10-05,1,75
СигнализацияОшибки,2023-10-05 22:57:15,Банкомат5,Пользователь60,Сигнализация ошибки в Банкомат5,Ошибка связи,True,2023-10-05 22:57:15,2023-10-05,1,77
ОбслуживаниеТребуется,2023-10-05 23:01:28,Банкомат71,Пользователь29,Требуется обслуживание Банкомат71,Профилактическое,False,2023-10-05 23:01:28,2023-10-05,1,94
ОшибкаПечати,2023-10-05 23:05:56,Банкомат38,Пользователь69,Ошибка печати в Банкомат38,Ошибка механизма,True,2023-10-05 23:05:56,2023-10-05,0,99
ПроверкаКассеты,2023-10-05 23:09:28,Банкомат72,Пользователь30,Проверка состояния кассеты в Банкомат72,Нуждается в замене,False,2023-10-05 23:09:28,2023-10-05,0,94
ОтказВОбслуживании,2023-10-05 23:14:18,Банкомат39,Пользователь4,Отказ в обслуживании в Банкомат39,Нет наличных,True,2023-10-05 23:14:18,2023-10-05,1,89
ПроверкаСостоянияПечати,2023-10-05 23:15:26,Банкомат37,Пользователь93,Проверка состояния печати в Банкомат37,Принтер работает,False,2023-10-05 23:15:26,2023-10-05,1,57
АварийноеВыключение,2023-10-05 23:19:20,Банкомат68,Пользователь93,Аварийное отключение устройства Банкомат68,Устройство отключено,True,2023-10-05 23:19:20,2023-10-05,0,84
ТестированиеСистемы,2023-10-05 23:23:31,Банкомат84,Пользователь78,Тестирование системы в Банкомат84,Некоторые системы не работают,True,2023-10-05 23:23:31,2023-10-05,0,70
ОшибкаТехническая,2023-10-05 23:28:28,Банкомат63,Пользователь15,Техническая ошибка в Банкомат63,Ошибка связи,True,2023-10-05 23:28:28,2023-10-05,1,88
ЗавершениеТранзакции,2023-10-05 23:32:39,Банкомат28,Пользователь12,Транзакция завершена в Банкомат28,Не удалось,True,2023-10-05 23:32:39,2023-10-05,1,69
